epoch,box_loss,cls_loss,dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss,lr,mAP50
48,1.67053,1.69118,1.55802,1.28684,1.28709,1.32983,0.005361,0.70274
49,1.66645,1.68276,1.56080,1.27964,1.28496,1.32698,0.005205,0.70522
50,1.66316,1.67319,1.56100,1.27445,1.28039,1.32261,0.005050,0.70633
51,1.65411,1.66433,1.55065,1.27658,1.27028,1.32238,0.004895,0.70907
52,1.65622,1.66568,1.54245,1.27545,1.26524,1.32059,0.004739,0.70884
53,1.64635,1.64433,1.54210,1.26996,1.26229,1.31679,0.004584,0.71399
54,1.64274,1.64246,1.53631,1.26558,1.25582,1.31599,0.004430,0.71601
55,1.63380,1.63540,1.52884,1.26628,1.24964,1.31403,0.004276,0.71781
56,1.63462,1.62114,1.53550,1.26398,1.24340,1.31501,0.004122,0.71789
57,1.62146,1.61395,1.52284,1.26116,1.23591,1.31122,0.003970,0.71964
58,1.62293,1.59808,1.52372,1.25929,1.23547,1.30811,0.003819,0.71844
59,1.61788,1.59422,1.51577,1.25508,1.23084,1.30342,0.003669,0.72368
60,1.61361,1.58132,1.50888,1.25647,1.22439,1.30352,0.003520,0.72254
61,1.60272,1.57536,1.50262,1.25565,1.22074,1.30350,0.003373,0.72339
62,1.59776,1.56170,1.49888,1.25354,1.20957,1.30265,0.003228,0.72937
63,1.59129,1.55323,1.49216,1.24925,1.20396,1.29777,0.003084,0.72589
64,1.58509,1.54444,1.48131,1.24992,1.19769,1.29216,0.002942,0.72870
65,1.57829,1.52804,1.47451,1.24872,1.18694,1.29026,0.002803,0.73380
66,1.57211,1.52289,1.47658,1.24353,1.18199,1.28819,0.002665,0.73600
67,1.56617,1.51301,1.46699,1.23806,1.17969,1.28423,0.002530,0.73704
68,1.55479,1.49915,1.46227,1.23498,1.16730,1.28340,0.002398,0.73923
69,1.55188,1.48860,1.45727,1.22744,1.16603,1.27651,0.002268,0.73970
70,1.54132,1.47733,1.44822,1.22456,1.16065,1.27468,0.002140,0.74287
71,1.53758,1.47235,1.44357,1.22435,1.15298,1.27534,0.002016,0.74359
72,1.52820,1.45277,1.44316,1.22283,1.15096,1.27492,0.001895,0.74576
73,1.52534,1.44688,1.43594,1.22322,1.14754,1.27181,0.001777,0.74776
74,1.51959,1.43287,1.43479,1.22327,1.13775,1.27301,0.001661,0.74894
75,1.50422,1.42379,1.42587,1.22184,1.13349,1.27182,0.001550,0.75002
76,1.49911,1.40456,1.41736,1.22051,1.12585,1.27007,0.001442,0.75009
77,1.49190,1.39926,1.40937,1.21464,1.12148,1.26695,0.001337,0.75312
78,1.48865,1.38779,1.41010,1.21184,1.11337,1.26651,0.001236,0.75421
79,1.47318,1.37751,1.39886,1.20809,1.11706,1.26234,0.001139,0.75560
80,1.46848,1.36372,1.39795,1.20773,1.10878,1.26240,0.001045,0.75950
81,1.47038,1.35405,1.39306,1.20798,1.10268,1.26054,0.000956,0.76099
82,1.45565,1.34214,1.38525,1.20109,1.10020,1.25611,0.000871,0.76289
83,1.44697,1.32761,1.38049,1.20101,1.09722,1.25727,0.000789,0.76059
84,1.43906,1.32172,1.37482,1.20333,1.09042,1.25623,0.000712,0.76439
85,1.43344,1.30773,1.36856,1.20307,1.08838,1.25425,0.000640,0.76494
86,1.42445,1.29687,1.36303,1.20129,1.08074,1.25398,0.000571,0.76769
87,1.42260,1.28772,1.35995,1.20004,1.07812,1.25260,0.000507,0.76872
88,1.40896,1.27205,1.35180,1.20190,1.06948,1.25279,0.000448,0.76920
89,1.40970,1.26162,1.34999,1.20089,1.06743,1.25127,0.000393,0.77123
90,1.39634,1.25590,1.34349,1.19836,1.07068,1.24932,0.000342,0.77112
91,1.39336,1.24949,1.33951,1.19768,1.06794,1.24819,0.000297,0.77186
92,1.39008,1.24451,1.33638,1.20143,1.06689,1.24863,0.000256,0.77194
93,1.37940,1.23821,1.32957,1.20159,1.05997,1.24890,0.000219,0.77586
94,1.38170,1.23134,1.32992,1.20372,1.05774,1.24818,0.000188,0.77866
95,1.37627,1.22345,1.32910,1.20346,1.05609,1.25024,0.000161,0.77721
96,1.37399,1.21926,1.32543,1.20569,1.05383,1.25228,0.000139,0.77482
97,1.36703,1.21660,1.32244,1.20631,1.05021,1.25308,0.000122,0.77650
98,1.36894,1.21885,1.31999,1.20560,1.04893,1.25093,0.000110,0.77705
99,1.36397,1.21131,1.32052,1.20565,1.04866,1.25124,0.000102,0.77754
100,1.36148,1.20766,1.31713,1.20722,1.04785,1.25169,0.000100,0.77773
